corp_code,fyear,ni,ocf,at,rev,cogs,at_prev,stock_code_x,corp_name_x,stock_code_y,corp_name_y
00526447,2016,477000774.0,478706155.0,7991051676.0,528360091.0,,7986650179.0,83370.0,동북아12호선박투자회사,,
00526447,2017,475697484.0,475547776.0,8109500571.0,528997919.0,,7991051676.0,83370.0,동북아12호선박투자회사,,
00526447,2018,475697510.0,473018043.0,8106737053.0,527476088.0,,8109500571.0,83370.0,동북아12호선박투자회사,,
00526447,2019,475697506.0,479506184.0,8110666481.0,527653637.0,,8106737053.0,83370.0,동북아12호선박투자회사,,
00598587,2015,16570981120.0,25863771928.0,464870661016.0,402026843198.0,218688581707.0,427654866023.0,108790.0,인터파크,,
00598587,2016,2505473745.0,6426348446.0,467347381961.0,466490324659.0,244579415403.0,464870661016.0,108790.0,인터파크,,
00598587,2017,8827856316.0,14468487119.0,526801429362.0,482554414927.0,263286539389.0,467347381961.0,108790.0,인터파크,,
00598587,2018,-7639120763.0,75444826476.0,564425326149.0,528539732239.0,308440290869.0,526801429362.0,108790.0,인터파크,,
00598587,2019,1448118672.0,34512230619.0,535714808909.0,509307980609.0,271840220771.0,564425326149.0,108790.0,인터파크,,
01107665,2015,146366365.0,,995996820.0,357855798.0,157571905.0,816108758.0,900250.0,크리스탈신소재,,
01107665,2016,150546832.0,,1292107312.0,372960261.0,150197464.0,997560120.0,900250.0,크리스탈신소재,,
01107665,2017,169466474.0,207131475.0,1465619644.0,426778293.0,179192899.0,1292107312.0,900250.0,크리스탈신소재,,
01107665,2018,151157112.0,193843522.0,1715255866.0,456949398.0,230376430.0,1465619644.0,900250.0,크리스탈신소재,,
01107665,2019,133842341.0,114177302.0,1802595136.0,501794240.0,271557225.0,1715255866.0,900250.0,크리스탈신소재,,
01107665,2020,130125954.0,82748994.0,1934437617.0,531593530.0,292776876.0,1802595136.0,900250.0,크리스탈신소재,,
00351418,2015,33372072122.0,61285845565.0,391792522148.0,437146857004.0,356620885082.0,374016961359.0,152330.0,코리아오토글라스,,
00351418,2016,42199499411.0,45251316112.0,483881132829.0,440225324303.0,346800518832.0,391792522148.0,152330.0,코리아오토글라스,,
00351418,2017,44750740411.0,102730020404.0,523828527210.0,472149217959.0,367825958200.0,483881132829.0,152330.0,코리아오토글라스,,
00351418,2018,43333656389.0,58498518433.0,564320128734.0,438709234808.0,341117643913.0,523828527210.0,152330.0,코리아오토글라스,,
00351418,2019,33026005339.0,71169071955.0,497890873630.0,456033611825.0,351599746499.0,564320128734.0,152330.0,코리아오토글라스,,
00100258,2015,-16423564448.0,60938742.0,61316855643.0,46692392468.0,56930271585.0,73650815306.0,30270.0,에스마크,,
00100258,2016,-20911963294.0,-10113477564.0,104614742396.0,28428152259.0,35482548418.0,61316855643.0,30270.0,에스마크,,
00100258,2017,-84466668676.0,-21185907856.0,65810066203.0,17074815387.0,18801045841.0,104614742396.0,30270.0,에스마크,,
00100258,2018,-34495693094.0,-7132370209.0,61659781352.0,14217841705.0,11554955772.0,65810066203.0,30270.0,에스마크,,
00100258,2019,-14525290519.0,-5053787231.0,45867391649.0,2550809665.0,2384785137.0,61659781352.0,30270.0,에스마크,,
00255141,2015,-3154268019.0,-10435410198.0,53298611117.0,35543984832.0,20811254357.0,54290416747.0,35480.0,글로앤웰,,
00255141,2016,-22276200305.0,-7141013724.0,80103740705.0,24444179565.0,26977007075.0,53298611117.0,35480.0,글로앤웰,,
00255141,2017,-20075622151.0,-14835752066.0,66091545321.0,8116103146.0,12537104321.0,78959185545.0,35480.0,글로앤웰,,
00255141,2018,-4991813892.0,-3948366631.0,39076390951.0,15779993316.0,10948944315.0,66091545321.0,35480.0,글로앤웰,,
00599887,2015,911600971.0,-23096709732.0,225142367113.0,130689892273.0,104292760984.0,172791896274.0,99660.0,신텍,,
00599887,2016,1956131401.0,5337543846.0,232507597846.0,160716710927.0,135045186704.0,225142367113.0,99660.0,신텍,,
00599887,2017,-45836218551.0,3107984526.0,205762446788.0,127612387333.0,142440739616.0,232507597846.0,99660.0,신텍,,
00599887,2018,-92952517062.0,4057530624.0,104714484549.0,72297240679.0,76958925585.0,205762446788.0,99660.0,신텍,,
00599887,2019,-30263215546.0,-43785140841.0,51473344357.0,11128952869.0,12672480757.0,104714484549.0,99660.0,신텍,,
