corp_code,fyear,ni,ocf,at,rev,cogs,at_prev,stock_code_x,corp_name_x,stock_code_y,corp_name_y,stock_code,tacc,gpoa
00324104,2015,-2310324351.0,5015542573.0,127575716398.0,133725127145.0,121472206483.0,139243034624.0,47440.0,디케이씨,,,047440,-0.0526120889549854,0.08799665056917741
00324104,2016,-17704854246.0,-4466302977.0,85083365208.0,99824345815.0,95540294602.0,127575716398.0,47440.0,디케이씨,,,047440,-0.10377015032938934,0.03358045977680405
00324104,2017,-27689142267.0,-6930978223.0,66814631296.0,80277520336.0,82589794789.0,85083365208.0,47440.0,디케이씨,,,047440,-0.24397441254531155,-0.027176574966766683
00930321,2015,5622476721.0,7303099139.0,70534569043.0,11316031490.0,7018748075.0,70505245769.0,159650.0,하이골드오션8호국제선박투자회사,,,159650,-0.023836842204710704,0.06094983952086931
00930321,2016,-9937884826.0,6286780495.0,54493481161.0,9430340323.0,7120085185.0,70534569043.0,159650.0,하이골드오션8호국제선박투자회사,,,159650,-0.23002430639519403,0.032753516032565516
00930321,2017,-18522366775.0,166926349.0,39494641776.0,3913975202.0,5961061009.0,54493481161.0,159650.0,하이골드오션8호국제선박투자회사,,,159650,-0.34296383211017156,-0.03756570076615077
00930321,2018,3024024595.0,1059764815.0,39420295122.0,3545812476.0,3957783035.0,39494641776.0,159650.0,하이골드오션8호국제선박투자회사,,,159650,0.049734842289255454,-0.010431049389852808
00930321,2019,-2177706766.0,1930834191.0,34764935429.0,3968113890.0,3965307886.0,39420295122.0,159650.0,하이골드오션8호국제선박투자회사,,,159650,-0.104224002998574,7.118170960709025e-05
00695464,2015,415846498.0,400890485.0,3284281992.0,3438148507.0,2633201685.0,3017081906.0,900040.0,차이나그레이트스타인터내셔널리미티드,,,900040,0.004957112026112823,0.2667964765554495
00695464,2016,314949439.0,393858460.0,3552511942.0,3315669222.0,2522667641.0,3284281992.0,900040.0,차이나그레이트스타인터내셔널리미티드,,,900040,-0.024026262419673493,0.24145356060521858
00695464,2017,-96850515.0,-615968945.0,3253995053.0,3041149664.0,2324085089.0,3552511942.0,900040.0,차이나그레이트스타인터내셔널리미티드,,,900040,0.1461271456578822,0.20184719621133929
00695464,2018,190210517.0,478935432.0,3340548226.0,2728525906.0,2088903936.0,3253995053.0,900040.0,차이나그레이트스타인터내셔널리미티드,,,900040,-0.08872936507196344,0.19656513288497615
00123152,2015,-13627506584.0,-2958427250.0,43249235081.0,43789214869.0,35175350010.0,47350193240.0,4740.0,보루네오가구,,,004740,-0.2253228256096553,0.18191826198764632
